No,Product ID,SKU,Product Name,Category,GSM,Size,Printing Type,Sides,Cost Slab Count
36,pqfxvsz04xt6tynzkor7gorh,PW31,PLASTIC PAPER WEIGHT,ACRYLIC PAPER WEIGHT,70,2*3,DIGITAL,DOUBLE_SIDE,3
37,uzcyoizkisec2zbb0rmirov0,PW32,PLASTIC PAPER WEIGHT,ACRYLIC PAPER WEIGHT,70,2*3,DIGITAL,DOUBLE_SIDE,3
38,x6wvxni9n5exrc9f8e2jl72y,PW33,PLASTIC PAPER WEIGHT,ACRYLIC PAPER WEIGHT,70,2*3,DIGITAL,DOUBLE_SIDE,3
39,h00twgghzdz2ljp04f7zoc7t,PW34,PLASTIC PAPER WEIGHT,ACRYLIC PAPER WEIGHT,70,2*3,DIGITAL,DOUBLE_SIDE,3
40,dhoh0q8hqna92560n0g42tje,PW35,PLASTIC PAPER WEIGHT,ACRYLIC PAPER WEIGHT,70,2*3,DIGITAL,DOUBLE_SIDE,3
41,lu0b24swpjm9sczn1ftgwgur,PW36,PLASTIC PAPER WEIGHT,ACRYLIC PAPER WEIGHT,70,2*3,DIGITAL,DOUBLE_SIDE,3
42,hthcqu3f8xddb4a13l6896de,PW37,PLASTIC PAPER WEIGHT,ACRYLIC PAPER WEIGHT,70,2*3,DIGITAL,DOUBLE_SIDE,3
43,rf92w2sp4zye43f7rsdfmeqz,PW38,PLASTIC PAPER WEIGHT,ACRYLIC PAPER WEIGHT,70,2*3,DIGITAL,DOUBLE_SIDE,3
44,ztbu39plnb0osm1uipboqh73,PW39,PLASTIC PAPER WEIGHT,ACRYLIC PAPER WEIGHT,70,2*3,DIGITAL,DOUBLE_SIDE,3
45,ra3yuix5gcad3lp6qccj9mrt,PW4,PLASTIC PAPER WEIGHT,ACRYLIC PAPER WEIGHT,70,2*3,DIGITAL,DOUBLE_SIDE,3
46,shteei1xna0tkildppmq9elu,PW40,PLASTIC PAPER WEIGHT,ACRYLIC PAPER WEIGHT,70,2*3,DIGITAL,DOUBLE_SIDE,3
47,opwmjduc4sibv9i11xygaju6,PW41,PLASTIC PAPER WEIGHT,ACRYLIC PAPER WEIGHT,70,2*3,DIGITAL,DOUBLE_SIDE,3
