"PRODUCT CODE","DESCRIPTION","10","20","40","50","100","200"
"LP80811","LETTERPAD A4 8.5X11 INCH 80GSM MULTICOLOR","2300","3800","","8000","13500",""
"LP100811","LETTERPAD A4 8.5X11 INCH 100GSM MULTICOLOR","2800","4500","","9000","15500",""
"LP8058","LETTERPAD A8 5.5X8.5 INCH 80GSM MULTICOLOR","","2530","4180","","8800","14850"
"LP10058","LETTERPAD A8 5.5X8.5 INCH 100GSM MULTICOLOR","","3080","4950","","9900","17050"
