"PRODUCT CODE","DESCRIPTION","10","20","50","100"
"LP70811","LETTERPAD A4 8.5X11 INCH 70GSM SINGLE COLOR","1770","3186","7080","11918"
"LP80811","LETTERPAD A4 8.5X11 INCH 80GSM SINGLE COLOR","1888","3422","7670","12744"
"LP100811","LETTERPAD A4 8.5X11 INCH 100GSM SINGLE COLOR","2242","4130","9204","15458"
"LP7058","LETTERPAD A8 5.5X8.5 INCH 70GSM SINGLE COLOR","1062","1652","3776","6372"
"LP8058","LETTERPAD A8 5.5X8.5 INCH 80GSM SINGLE COLOR","1180","1770","4130","6844"
"LP10058","LETTERPAD A8 5.5X8.5 INCH 100GSM SINGLE COLOR","1416","2124","4838","8142"
